task_id,action_type,agent_confidence,user_past_accept_rate,action_reversibility,deviation_from_routine,accept_label,_generating_rule
style_synth_00628,send_reminder,0.975,0.799,0.761,0.197,1,high_trust_high_conf
style_synth_00629,send_reminder,0.457,0.709,0.836,0.182,0,low_confidence_default_reject
style_synth_00630,schedule_event,0.673,0.48,0.901,0.245,0,low_confidence_default_reject
style_synth_00631,pay_bill,0.69,0.506,0.355,0.219,0,low_confidence_default_reject
style_synth_00632,pay_bill,0.524,0.518,0.796,0.155,0,low_confidence_default_reject
style_synth_00633,schedule_event,0.842,0.634,0.564,0.428,1,confident_default_accept
style_synth_00634,schedule_event,0.68,0.614,0.752,0.234,0,low_confidence_default_reject
style_synth_00635,reorganize_files,0.852,0.512,0.507,0.519,1,confident_default_accept
style_synth_00636,send_reminder,0.944,0.734,0.97,0.136,1,high_trust_high_conf
style_synth_00637,schedule_event,0.885,0.46,0.154,0.486,1,confident_default_accept
style_synth_00638,pay_bill,0.685,0.599,0.898,0.515,0,low_confidence_default_reject
style_synth_00639,reorganize_files,0.962,0.491,0.002,0.536,1,confident_default_accept
style_synth_00640,schedule_event,0.703,0.594,0.035,0.083,0,risky_irreversible_low_conf
style_synth_00641,schedule_event,0.903,0.661,0.425,0.477,1,confident_default_accept
style_synth_00642,send_reminder,0.436,0.421,0.435,0.164,1,low_confidence_default_reject
style_synth_00643,send_reminder,0.827,0.824,0.018,0.187,1,risky_irreversible_low_conf
style_synth_00644,reorganize_files,0.864,0.717,0.689,0.108,1,high_trust_high_conf
style_synth_00645,reorganize_files,0.849,0.836,0.725,0.264,1,high_trust_high_conf
style_synth_00646,draft_message,0.934,0.546,0.794,0.267,1,confident_default_accept
style_synth_00647,schedule_event,0.652,0.575,0.267,0.394,1,risky_irreversible_low_conf
style_synth_00648,draft_message,0.482,0.514,0.476,0.37,0,low_confidence_default_reject
style_synth_00649,reorganize_files,0.515,0.248,0.208,0.168,0,risky_irreversible_low_conf
style_synth_00650,reorganize_files,0.541,0.715,0.378,0.386,0,low_confidence_default_reject
style_synth_00651,reorganize_files,0.848,0.423,0.687,0.353,1,confident_default_accept
style_synth_00652,reorganize_files,0.502,0.563,0.172,0.394,0,risky_irreversible_low_conf
style_synth_00653,pay_bill,0.922,0.487,0.625,0.687,1,confident_default_accept
style_synth_00654,reorganize_files,0.785,0.524,0.207,0.241,0,risky_irreversible_low_conf
style_synth_00655,reorganize_files,0.662,0.475,0.996,0.195,0,low_confidence_default_reject
style_synth_00656,send_reminder,0.594,0.474,0.787,0.073,0,low_confidence_default_reject
style_synth_00657,pay_bill,0.855,0.641,0.458,0.314,1,confident_default_accept
style_synth_00658,draft_message,0.767,0.756,0.371,0.194,1,high_trust_high_conf
style_synth_00659,draft_message,0.811,0.42,0.012,0.133,0,risky_irreversible_low_conf
style_synth_00660,pay_bill,0.727,0.738,0.669,0.118,1,high_trust_high_conf
style_synth_00661,schedule_event,0.771,0.595,0.524,0.136,1,confident_default_accept
style_synth_00662,draft_message,0.698,0.683,0.797,0.11,0,low_confidence_default_reject
style_synth_00663,draft_message,0.861,0.317,0.228,0.339,1,confident_default_accept
style_synth_00664,draft_message,0.72,0.634,0.72,0.237,1,confident_default_accept
style_synth_00665,schedule_event,0.755,0.606,0.264,0.252,0,risky_irreversible_low_conf
style_synth_00666,schedule_event,0.863,0.483,0.183,0.561,1,confident_default_accept
style_synth_00667,send_reminder,0.614,0.61,0.663,0.214,0,low_confidence_default_reject
style_synth_00668,draft_message,0.693,0.732,0.563,0.372,0,low_confidence_default_reject
style_synth_00669,pay_bill,0.726,0.582,0.199,0.217,0,risky_irreversible_low_conf
style_synth_00670,send_reminder,0.933,0.648,0.607,0.197,1,confident_default_accept
style_synth_00671,draft_message,0.399,0.821,0.299,0.207,0,risky_irreversible_low_conf
style_synth_00672,draft_message,0.63,0.591,0.957,0.167,0,low_confidence_default_reject
style_synth_00673,pay_bill,0.607,0.511,0.486,0.219,1,low_confidence_default_reject
style_synth_00674,send_reminder,0.797,0.318,0.158,0.272,0,risky_irreversible_low_conf
style_synth_00675,pay_bill,0.809,0.437,0.073,0.354,0,risky_irreversible_low_conf
style_synth_00676,reorganize_files,0.741,0.605,0.654,0.072,1,confident_default_accept
style_synth_00677,send_reminder,0.755,0.138,0.54,0.285,0,low_trust_user
style_synth_00678,draft_message,0.35,0.764,0.854,0.188,0,low_confidence_default_reject
style_synth_00679,pay_bill,0.708,0.336,0.995,0.414,1,confident_default_accept
style_synth_00680,send_reminder,0.955,0.599,0.837,0.313,1,confident_default_accept
style_synth_00681,reorganize_files,0.6,0.418,0.293,0.37,0,risky_irreversible_low_conf
style_synth_00682,pay_bill,0.894,0.377,0.625,0.247,0,confident_default_accept
style_synth_00683,pay_bill,0.666,0.432,0.112,0.173,0,risky_irreversible_low_conf
style_synth_00684,send_reminder,0.817,0.509,0.493,0.657,0,novel_action_distrust
style_synth_00685,pay_bill,0.859,0.384,0.974,0.351,1,confident_default_accept
style_synth_00686,pay_bill,0.846,0.581,0.794,0.448,0,confident_default_accept
style_synth_00687,reorganize_files,0.644,0.728,0.546,0.077,0,low_confidence_default_reject
style_synth_00688,pay_bill,0.643,0.698,0.063,0.304,0,risky_irreversible_low_conf
style_synth_00689,send_reminder,0.83,0.739,0.886,0.242,1,high_trust_high_conf
style_synth_00690,draft_message,0.691,0.285,0.997,0.109,0,low_trust_user
style_synth_00691,pay_bill,0.922,0.707,0.949,0.202,1,high_trust_high_conf
style_synth_00692,schedule_event,0.419,0.864,0.14,0.105,0,risky_irreversible_low_conf
style_synth_00693,reorganize_files,0.833,0.81,0.672,0.204,1,high_trust_high_conf
style_synth_00694,reorganize_files,0.505,0.438,0.382,0.162,0,low_confidence_default_reject
style_synth_00695,draft_message,0.567,0.568,0.422,0.432,0,low_confidence_default_reject
style_synth_00696,draft_message,0.67,0.415,0.586,0.214,0,low_confidence_default_reject
style_synth_00697,reorganize_files,0.784,0.46,0.576,0.131,1,confident_default_accept
style_synth_00698,reorganize_files,0.963,0.594,0.744,0.344,1,confident_default_accept
style_synth_00699,draft_message,0.348,0.722,0.458,0.508,0,low_confidence_default_reject
style_synth_00700,pay_bill,0.868,0.774,0.101,0.474,1,high_trust_high_conf
style_synth_00701,reorganize_files,0.621,0.719,0.016,0.146,0,risky_irreversible_low_conf
style_synth_00702,send_reminder,0.62,0.469,0.533,0.392,0,low_confidence_default_reject
style_synth_00703,draft_message,0.817,0.779,0.695,0.172,1,high_trust_high_conf
style_synth_00704,draft_message,0.568,0.509,0.848,0.195,0,low_confidence_default_reject
style_synth_00705,draft_message,0.845,0.711,0.986,0.284,1,high_trust_high_conf
style_synth_00706,send_reminder,0.921,0.364,0.821,0.102,1,confident_default_accept
style_synth_00707,send_reminder,0.851,0.659,0.148,0.337,1,confident_default_accept
style_synth_00708,pay_bill,0.606,0.58,0.314,0.016,0,low_confidence_default_reject
style_synth_00709,schedule_event,0.621,0.345,0.181,0.526,0,risky_irreversible_low_conf
style_synth_00710,send_reminder,0.594,0.715,0.177,0.423,0,risky_irreversible_low_conf
style_synth_00711,draft_message,0.655,0.844,0.169,0.056,0,risky_irreversible_low_conf
style_synth_00712,schedule_event,0.86,0.697,0.891,0.525,1,confident_default_accept
style_synth_00713,schedule_event,0.471,0.308,0.167,0.165,0,risky_irreversible_low_conf
style_synth_00714,reorganize_files,0.874,0.634,0.188,0.126,1,confident_default_accept
style_synth_00715,send_reminder,0.447,0.568,0.546,0.162,0,low_confidence_default_reject
style_synth_00716,reorganize_files,0.692,0.552,0.786,0.379,0,low_confidence_default_reject
style_synth_00717,schedule_event,0.577,0.671,0.964,0.038,0,low_confidence_default_reject
style_synth_00718,pay_bill,0.937,0.687,0.714,0.253,1,confident_default_accept
style_synth_00719,schedule_event,0.404,0.811,0.246,0.4,0,risky_irreversible_low_conf
style_synth_00720,draft_message,0.468,0.678,0.901,0.453,0,low_confidence_default_reject
style_synth_00721,reorganize_files,0.854,0.698,0.167,0.35,1,confident_default_accept
style_synth_00722,draft_message,0.861,0.705,0.996,0.358,1,high_trust_high_conf
style_synth_00723,schedule_event,0.663,0.748,0.318,0.369,0,low_confidence_default_reject
style_synth_00724,draft_message,0.924,0.531,0.025,0.233,1,confident_default_accept
style_synth_00725,send_reminder,0.749,0.481,0.104,0.156,0,risky_irreversible_low_conf
style_synth_00726,schedule_event,0.968,0.241,0.386,0.389,0,low_trust_user
style_synth_00727,reorganize_files,0.73,0.348,0.388,0.133,1,confident_default_accept
style_synth_00728,schedule_event,0.683,0.601,0.421,0.263,0,low_confidence_default_reject
style_synth_00729,draft_message,0.746,0.514,0.463,0.578,1,confident_default_accept
style_synth_00730,reorganize_files,0.669,0.887,0.552,0.129,0,low_confidence_default_reject
style_synth_00731,pay_bill,0.79,0.637,0.198,0.188,0,risky_irreversible_low_conf
style_synth_00732,schedule_event,0.924,0.553,0.704,0.18,1,confident_default_accept
style_synth_00733,reorganize_files,0.613,0.712,0.249,0.261,0,risky_irreversible_low_conf
style_synth_00734,reorganize_files,0.483,0.401,0.988,0.136,0,low_confidence_default_reject
style_synth_00735,pay_bill,0.931,0.581,0.52,0.18,0,confident_default_accept
style_synth_00736,reorganize_files,0.958,0.735,0.388,0.433,1,high_trust_high_conf
style_synth_00737,reorganize_files,0.661,0.4,0.509,0.221,0,low_confidence_default_reject
style_synth_00738,pay_bill,0.625,0.559,0.461,0.713,0,novel_action_distrust
style_synth_00739,pay_bill,0.929,0.283,0.717,0.331,0,low_trust_user
style_synth_00740,reorganize_files,0.829,0.623,0.973,0.6,1,confident_default_accept
style_synth_00741,pay_bill,0.538,0.606,0.735,0.514,0,low_confidence_default_reject
style_synth_00742,send_reminder,0.705,0.47,0.771,0.318,1,confident_default_accept
style_synth_00743,draft_message,0.781,0.655,0.043,0.229,0,risky_irreversible_low_conf
style_synth_00744,reorganize_files,0.727,0.74,0.632,0.169,1,high_trust_high_conf
style_synth_00745,send_reminder,0.531,0.395,0.278,0.148,0,risky_irreversible_low_conf
style_synth_00746,reorganize_files,0.767,0.628,0.63,0.547,1,confident_default_accept
style_synth_00747,draft_message,0.846,0.358,0.326,0.208,1,confident_default_accept
style_synth_00748,draft_message,0.802,0.335,0.229,0.231,0,risky_irreversible_low_conf
style_synth_00749,schedule_event,0.717,0.518,0.947,0.171,1,confident_default_accept
style_synth_00750,schedule_event,0.986,0.475,0.485,0.288,1,confident_default_accept
style_synth_00751,send_reminder,0.933,0.694,0.701,0.371,1,confident_default_accept
style_synth_00752,draft_message,0.868,0.692,0.706,0.405,1,confident_default_accept
style_synth_00753,draft_message,0.808,0.524,0.327,0.176,0,confident_default_accept
style_synth_00754,pay_bill,0.877,0.667,0.357,0.19,0,confident_default_accept
style_synth_00755,reorganize_files,0.89,0.853,0.261,0.16,1,high_trust_high_conf
style_synth_00756,pay_bill,0.557,0.439,0.51,0.619,1,novel_action_distrust
style_synth_00757,pay_bill,0.63,0.692,0.536,0.187,0,low_confidence_default_reject
style_synth_00758,send_reminder,0.55,0.471,0.205,0.198,0,risky_irreversible_low_conf
style_synth_00759,send_reminder,0.689,0.621,0.23,0.673,1,risky_irreversible_low_conf
style_synth_00760,pay_bill,0.608,0.665,0.857,0.097,0,low_confidence_default_reject
style_synth_00761,schedule_event,0.913,0.842,0.191,0.435,0,high_trust_high_conf
style_synth_00762,schedule_event,0.35,0.331,0.03,0.154,0,risky_irreversible_low_conf
style_synth_00763,send_reminder,0.867,0.609,0.577,0.523,1,confident_default_accept
style_synth_00764,schedule_event,0.881,0.901,0.857,0.227,1,high_trust_high_conf
style_synth_00765,draft_message,0.697,0.477,0.146,0.548,0,risky_irreversible_low_conf
style_synth_00766,draft_message,0.711,0.741,0.925,0.349,1,high_trust_high_conf
style_synth_00767,draft_message,0.652,0.749,0.14,0.248,0,risky_irreversible_low_conf
style_synth_00768,schedule_event,0.528,0.387,0.937,0.392,0,low_confidence_default_reject
style_synth_00769,schedule_event,0.815,0.44,0.8,0.231,1,confident_default_accept
style_synth_00770,draft_message,0.938,0.505,0.422,0.177,1,confident_default_accept
style_synth_00771,pay_bill,0.604,0.526,0.753,0.417,0,low_confidence_default_reject
style_synth_00772,reorganize_files,0.811,0.87,0.337,0.395,1,high_trust_high_conf
style_synth_00773,reorganize_files,0.36,0.48,0.925,0.331,0,low_confidence_default_reject
style_synth_00774,pay_bill,0.506,0.614,0.654,0.179,0,low_confidence_default_reject
style_synth_00775,send_reminder,0.869,0.537,0.635,0.138,1,confident_default_accept
style_synth_00776,schedule_event,0.435,0.722,0.66,0.314,0,low_confidence_default_reject
style_synth_00777,send_reminder,0.816,0.325,0.009,0.441,0,risky_irreversible_low_conf
style_synth_00778,send_reminder,0.898,0.801,0.627,0.117,1,high_trust_high_conf
style_synth_00779,reorganize_files,0.532,0.679,0.225,0.211,0,risky_irreversible_low_conf
style_synth_00780,reorganize_files,0.937,0.464,0.465,0.546,1,confident_default_accept
style_synth_00781,draft_message,0.823,0.691,0.599,0.188,1,confident_default_accept
style_synth_00782,draft_message,0.906,0.658,0.192,0.27,1,confident_default_accept
style_synth_00783,pay_bill,0.914,0.553,0.321,0.598,1,confident_default_accept
style_synth_00784,pay_bill,0.529,0.576,0.537,0.172,0,low_confidence_default_reject
style_synth_00785,reorganize_files,0.87,0.573,0.051,0.229,1,confident_default_accept
style_synth_00786,schedule_event,0.412,0.586,0.743,0.211,0,low_confidence_default_reject
style_synth_00787,send_reminder,0.869,0.573,0.172,0.433,1,confident_default_accept
style_synth_00788,draft_message,0.769,0.683,0.861,0.185,1,confident_default_accept
style_synth_00789,reorganize_files,0.975,0.472,0.342,0.048,1,confident_default_accept
style_synth_00790,pay_bill,0.672,0.756,0.249,0.173,1,risky_irreversible_low_conf
style_synth_00791,send_reminder,0.657,0.583,0.724,0.205,0,low_confidence_default_reject
style_synth_00792,pay_bill,0.611,0.492,0.229,0.363,0,risky_irreversible_low_conf
style_synth_00793,send_reminder,0.764,0.448,0.092,0.046,0,risky_irreversible_low_conf
style_synth_00794,pay_bill,0.689,0.193,0.773,0.177,0,low_trust_user
style_synth_00795,draft_message,0.981,0.921,0.057,0.076,1,high_trust_high_conf
style_synth_00796,draft_message,0.586,0.743,0.136,0.193,0,risky_irreversible_low_conf
style_synth_00797,reorganize_files,0.779,0.512,0.251,0.127,1,risky_irreversible_low_conf
style_synth_00798,reorganize_files,0.646,0.275,0.649,0.211,0,low_trust_user
style_synth_00799,reorganize_files,0.863,0.403,0.374,0.124,1,confident_default_accept
style_synth_00800,draft_message,0.683,0.781,0.922,0.221,0,low_confidence_default_reject
style_synth_00801,schedule_event,0.774,0.577,0.368,0.313,1,confident_default_accept
style_synth_00802,send_reminder,0.321,0.268,0.723,0.207,1,low_trust_user
style_synth_00803,draft_message,0.502,0.836,0.787,0.248,0,low_confidence_default_reject
style_synth_00804,reorganize_files,0.697,0.525,0.901,0.484,0,low_confidence_default_reject
style_synth_00805,send_reminder,0.673,0.463,0.509,0.312,0,low_confidence_default_reject
style_synth_00806,draft_message,0.716,0.683,0.413,0.296,1,confident_default_accept
style_synth_00807,schedule_event,0.95,0.604,0.487,0.256,1,confident_default_accept
style_synth_00808,pay_bill,0.616,0.269,0.429,0.47,0,low_trust_user
style_synth_00809,schedule_event,0.648,0.679,0.893,0.192,0,low_confidence_default_reject
style_synth_00810,pay_bill,0.614,0.426,0.462,0.452,0,low_confidence_default_reject
style_synth_00811,reorganize_files,0.736,0.613,0.401,0.32,1,confident_default_accept
style_synth_00812,send_reminder,0.837,0.503,0.668,0.444,1,confident_default_accept
style_synth_00813,schedule_event,0.75,0.754,0.464,0.413,1,high_trust_high_conf
style_synth_00814,send_reminder,0.913,0.676,0.181,0.197,1,confident_default_accept
style_synth_00815,send_reminder,0.505,0.709,0.59,0.699,0,novel_action_distrust
style_synth_00816,draft_message,0.939,0.389,0.878,0.401,1,confident_default_accept
style_synth_00817,draft_message,0.68,0.725,0.239,0.083,0,risky_irreversible_low_conf
style_synth_00818,schedule_event,0.534,0.783,0.213,0.537,0,risky_irreversible_low_conf
style_synth_00819,send_reminder,0.803,0.7,0.731,0.185,1,confident_default_accept
style_synth_00820,pay_bill,0.777,0.847,0.121,0.822,0,risky_irreversible_low_conf
style_synth_00821,draft_message,0.542,0.481,0.083,0.499,0,risky_irreversible_low_conf
style_synth_00822,schedule_event,0.888,0.703,0.389,0.389,1,high_trust_high_conf
style_synth_00823,send_reminder,0.759,0.676,0.453,0.013,1,confident_default_accept
style_synth_00824,draft_message,0.792,0.471,0.032,0.254,1,risky_irreversible_low_conf
style_synth_00825,draft_message,0.661,0.72,0.407,0.075,0,low_confidence_default_reject
style_synth_00826,send_reminder,0.799,0.619,0.232,0.177,0,risky_irreversible_low_conf
style_synth_00827,send_reminder,0.845,0.67,0.312,0.331,1,confident_default_accept
style_synth_00828,schedule_event,0.569,0.547,0.794,0.075,0,low_confidence_default_reject
style_synth_00829,schedule_event,0.88,0.8,0.681,0.418,1,high_trust_high_conf
style_synth_00830,send_reminder,0.747,0.654,0.125,0.25,0,risky_irreversible_low_conf
style_synth_00831,pay_bill,0.75,0.712,0.231,0.332,0,risky_irreversible_low_conf
style_synth_00832,draft_message,0.913,0.276,0.325,0.202,0,low_trust_user
style_synth_00833,pay_bill,0.348,0.737,0.159,0.367,0,risky_irreversible_low_conf
style_synth_00834,schedule_event,0.955,0.649,0.449,0.395,1,confident_default_accept
style_synth_00835,pay_bill,0.525,0.504,0.145,0.242,0,risky_irreversible_low_conf
style_synth_00836,send_reminder,0.974,0.36,0.556,0.334,1,confident_default_accept
style_synth_00837,send_reminder,0.363,0.788,0.764,0.159,0,low_confidence_default_reject
style_synth_00838,send_reminder,0.784,0.676,0.562,0.417,1,confident_default_accept
style_synth_00839,send_reminder,0.56,0.184,0.093,0.086,0,risky_irreversible_low_conf
style_synth_00840,pay_bill,0.449,0.817,0.331,0.103,0,low_confidence_default_reject
style_synth_00841,reorganize_files,0.597,0.738,0.234,0.084,0,risky_irreversible_low_conf
style_synth_00842,send_reminder,0.499,0.675,0.901,0.309,0,low_confidence_default_reject
style_synth_00843,reorganize_files,0.726,0.367,0.677,0.712,0,novel_action_distrust
style_synth_00844,send_reminder,0.801,0.503,0.798,0.202,1,confident_default_accept
style_synth_00845,pay_bill,0.916,0.656,0.232,0.115,1,confident_default_accept
style_synth_00846,pay_bill,0.713,0.478,0.14,0.651,0,risky_irreversible_low_conf
style_synth_00847,reorganize_files,0.654,0.298,0.775,0.316,0,low_trust_user
style_synth_00848,send_reminder,0.538,0.481,0.631,0.148,0,low_confidence_default_reject
style_synth_00849,draft_message,0.935,0.618,0.91,0.06,1,confident_default_accept
style_synth_00850,draft_message,0.712,0.545,0.361,0.32,1,confident_default_accept
style_synth_00851,pay_bill,0.956,0.32,0.039,0.354,1,confident_default_accept
style_synth_00852,reorganize_files,0.968,0.845,0.047,0.106,0,high_trust_high_conf
style_synth_00853,draft_message,0.858,0.479,0.673,0.099,1,confident_default_accept
style_synth_00854,draft_message,0.81,0.551,0.214,0.36,0,risky_irreversible_low_conf
style_synth_00855,draft_message,0.658,0.736,0.187,0.111,0,risky_irreversible_low_conf
style_synth_00856,draft_message,0.788,0.442,0.731,0.226,1,confident_default_accept
style_synth_00857,draft_message,0.727,0.724,0.993,0.269,1,high_trust_high_conf
style_synth_00858,pay_bill,0.869,0.718,0.095,0.269,1,high_trust_high_conf
style_synth_00859,send_reminder,0.542,0.875,0.035,0.062,0,risky_irreversible_low_conf
style_synth_00860,draft_message,0.782,0.226,0.415,0.303,0,low_trust_user
style_synth_00861,draft_message,0.813,0.962,0.214,0.353,0,risky_irreversible_low_conf
style_synth_00862,schedule_event,0.744,0.507,0.343,0.071,1,confident_default_accept
style_synth_00863,pay_bill,0.739,0.458,0.63,0.455,1,confident_default_accept
style_synth_00864,schedule_event,0.579,0.9,0.361,0.16,0,low_confidence_default_reject
style_synth_00865,reorganize_files,0.695,0.738,0.43,0.475,0,low_confidence_default_reject
style_synth_00866,send_reminder,0.867,0.789,0.896,0.02,1,high_trust_high_conf
style_synth_00867,reorganize_files,0.718,0.47,0.124,0.064,0,risky_irreversible_low_conf
style_synth_00868,send_reminder,0.851,0.366,0.706,0.265,1,confident_default_accept
style_synth_00869,draft_message,0.686,0.628,0.784,0.305,0,low_confidence_default_reject
style_synth_00870,draft_message,0.526,0.59,0.819,0.182,0,low_confidence_default_reject
style_synth_00871,schedule_event,0.525,0.181,0.943,0.516,0,low_trust_user
style_synth_00872,draft_message,0.746,0.634,0.982,0.176,1,confident_default_accept
style_synth_00873,draft_message,0.643,0.657,0.923,0.101,0,low_confidence_default_reject
style_synth_00874,send_reminder,0.422,0.493,0.85,0.112,0,low_confidence_default_reject
style_synth_00875,pay_bill,0.849,0.281,0.025,0.15,0,risky_irreversible_low_conf
style_synth_00876,draft_message,0.701,0.464,0.144,0.493,0,risky_irreversible_low_conf
style_synth_00877,reorganize_files,0.934,0.631,0.13,0.472,1,confident_default_accept
style_synth_00878,reorganize_files,0.831,0.726,0.675,0.26,1,high_trust_high_conf
style_synth_00879,pay_bill,0.831,0.217,0.164,0.073,0,risky_irreversible_low_conf
style_synth_00880,draft_message,0.53,0.661,0.297,0.221,0,risky_irreversible_low_conf
style_synth_00881,send_reminder,0.511,0.242,0.398,0.17,0,low_trust_user
style_synth_00882,send_reminder,0.847,0.822,0.261,0.218,0,risky_irreversible_low_conf
style_synth_00883,reorganize_files,0.406,0.502,0.029,0.114,0,risky_irreversible_low_conf
style_synth_00884,reorganize_files,0.874,0.323,0.518,0.785,0,novel_action_distrust
style_synth_00885,pay_bill,0.73,0.58,0.937,0.529,1,confident_default_accept
style_synth_00886,pay_bill,0.619,0.839,0.773,0.162,0,low_confidence_default_reject
style_synth_00887,schedule_event,0.717,0.462,0.719,0.476,1,confident_default_accept
style_synth_00888,send_reminder,0.642,0.572,0.913,0.439,0,low_confidence_default_reject
style_synth_00889,reorganize_files,0.68,0.455,0.078,0.294,0,risky_irreversible_low_conf
style_synth_00890,reorganize_files,0.615,0.742,0.32,0.249,0,low_confidence_default_reject
style_synth_00891,send_reminder,0.815,0.552,0.39,0.428,1,confident_default_accept
style_synth_00892,pay_bill,0.469,0.481,0.353,0.509,0,low_confidence_default_reject
style_synth_00893,draft_message,0.889,0.556,0.405,0.13,1,confident_default_accept
style_synth_00894,pay_bill,0.647,0.639,0.991,0.319,0,low_confidence_default_reject
style_synth_00895,reorganize_files,0.966,0.712,0.12,0.355,1,high_trust_high_conf
style_synth_00896,reorganize_files,0.865,0.568,0.088,0.27,1,confident_default_accept
style_synth_00897,pay_bill,0.607,0.286,0.643,0.127,0,low_trust_user
style_synth_00898,schedule_event,0.741,0.958,0.235,0.217,0,risky_irreversible_low_conf
style_synth_00899,draft_message,0.569,0.478,0.28,0.476,0,risky_irreversible_low_conf
style_synth_00900,reorganize_files,0.597,0.187,0.812,0.385,0,low_trust_user
style_synth_00901,schedule_event,0.506,0.299,0.116,0.291,0,risky_irreversible_low_conf
style_synth_00902,send_reminder,0.583,0.211,0.383,0.331,0,low_trust_user
style_synth_00903,pay_bill,0.513,0.371,0.846,0.125,0,low_confidence_default_reject
style_synth_00904,pay_bill,0.774,0.55,0.09,0.266,0,risky_irreversible_low_conf
style_synth_00905,schedule_event,0.766,0.773,0.464,0.168,1,high_trust_high_conf
style_synth_00906,pay_bill,0.875,0.497,0.9,0.344,1,confident_default_accept
style_synth_00907,reorganize_files,0.759,0.628,0.186,0.057,0,risky_irreversible_low_conf
style_synth_00908,reorganize_files,0.732,0.569,0.551,0.141,1,confident_default_accept
style_synth_00909,send_reminder,0.875,0.371,0.744,0.313,0,confident_default_accept
style_synth_00910,draft_message,0.433,0.757,0.825,0.199,0,low_confidence_default_reject
style_synth_00911,send_reminder,0.92,0.798,0.028,0.532,1,high_trust_high_conf
style_synth_00912,schedule_event,0.702,0.785,0.569,0.165,1,high_trust_high_conf
style_synth_00913,send_reminder,0.655,0.554,0.04,0.054,0,risky_irreversible_low_conf
style_synth_00914,send_reminder,0.907,0.726,0.73,0.627,1,high_trust_high_conf
style_synth_00915,send_reminder,0.654,0.691,0.145,0.113,0,risky_irreversible_low_conf
style_synth_00916,reorganize_files,0.864,0.84,0.105,0.494,1,high_trust_high_conf
style_synth_00917,send_reminder,0.892,0.668,0.66,0.182,1,confident_default_accept
style_synth_00918,draft_message,0.929,0.273,0.576,0.188,1,low_trust_user
style_synth_00919,send_reminder,0.673,0.979,0.716,0.236,0,low_confidence_default_reject
style_synth_00920,schedule_event,0.825,0.813,0.156,0.268,0,risky_irreversible_low_conf
style_synth_00921,reorganize_files,0.891,0.451,0.281,0.416,1,confident_default_accept
style_synth_00922,schedule_event,0.736,0.391,0.64,0.277,1,confident_default_accept
style_synth_00923,draft_message,0.838,0.593,0.555,0.44,0,confident_default_accept
style_synth_00924,reorganize_files,0.773,0.351,0.517,0.5,0,confident_default_accept
style_synth_00925,schedule_event,0.935,0.601,0.048,0.363,1,confident_default_accept
style_synth_00926,pay_bill,0.637,0.614,0.254,0.489,0,risky_irreversible_low_conf
style_synth_00927,reorganize_files,0.94,0.523,0.019,0.082,1,confident_default_accept
style_synth_00928,send_reminder,0.568,0.773,0.552,0.42,0,low_confidence_default_reject
style_synth_00929,send_reminder,0.537,0.549,0.199,0.232,0,risky_irreversible_low_conf
style_synth_00930,draft_message,0.556,0.681,0.762,0.21,0,low_confidence_default_reject
style_synth_00931,draft_message,0.969,0.56,0.82,0.488,1,confident_default_accept
style_synth_00932,schedule_event,0.846,0.469,0.504,0.761,1,novel_action_distrust
style_synth_00933,send_reminder,0.808,0.533,0.399,0.275,1,confident_default_accept
style_synth_00934,draft_message,0.837,0.665,0.829,0.133,1,confident_default_accept
style_synth_00935,schedule_event,0.816,0.634,0.752,0.285,1,confident_default_accept
style_synth_00936,pay_bill,0.612,0.825,0.642,0.075,0,low_confidence_default_reject
style_synth_00937,draft_message,0.624,0.62,0.293,0.071,0,risky_irreversible_low_conf
style_synth_00938,reorganize_files,0.794,0.324,0.012,0.456,0,risky_irreversible_low_conf
style_synth_00939,pay_bill,0.792,0.426,0.535,0.27,1,confident_default_accept
style_synth_00940,draft_message,0.631,0.473,0.999,0.089,0,low_confidence_default_reject
style_synth_00941,pay_bill,0.878,0.709,0.83,0.056,1,high_trust_high_conf
style_synth_00942,schedule_event,0.427,0.517,0.47,0.418,0,low_confidence_default_reject
style_synth_00943,send_reminder,0.765,0.675,0.097,0.087,0,risky_irreversible_low_conf
style_synth_00944,draft_message,0.687,0.572,0.249,0.408,0,risky_irreversible_low_conf
style_synth_00945,draft_message,0.897,0.421,0.995,0.294,1,confident_default_accept
style_synth_00946,schedule_event,0.466,0.65,0.648,0.125,0,low_confidence_default_reject
style_synth_00947,schedule_event,0.394,0.364,0.293,0.139,0,risky_irreversible_low_conf
style_synth_00948,send_reminder,0.782,0.38,0.315,0.53,1,confident_default_accept
style_synth_00949,draft_message,0.75,0.72,0.131,0.408,0,risky_irreversible_low_conf
style_synth_00950,draft_message,0.886,0.608,0.134,0.259,1,confident_default_accept
style_synth_00951,send_reminder,0.651,0.378,0.196,0.039,0,risky_irreversible_low_conf
style_synth_00952,draft_message,0.742,0.688,0.92,0.102,1,confident_default_accept
style_synth_00953,pay_bill,0.562,0.649,0.169,0.114,0,risky_irreversible_low_conf
style_synth_00954,draft_message,0.954,0.604,0.339,0.096,1,confident_default_accept
style_synth_00955,send_reminder,0.791,0.681,0.398,0.131,1,confident_default_accept
style_synth_00956,pay_bill,0.41,0.434,0.655,0.067,0,low_confidence_default_reject
style_synth_00957,schedule_event,0.799,0.635,0.036,0.567,0,risky_irreversible_low_conf
style_synth_00958,send_reminder,0.82,0.84,0.826,0.184,1,high_trust_high_conf
